timestamp,controller_timestamp_s,label,joint_name,servo_id,control_name,control_value,delta_time_s,target_rate_deg_s,measured_velocity_deg_s,command_speed,command_acceleration,target_angle_deg,current_angle_deg,angle_error_deg,target_position_counts,current_position_counts,position_error_counts,raw_load,load_magnitude,load_direction,load_percent,voltage_v,temperature_c,current_a,moving
2026-08-27T12:17:04.214816-03:00,55950.224874,speed700_acc30_l2,gripper,6,l2,0.011765,0.020139,-0.705882,0.000000,3400,120,117.759222,117.773438,0.014216,3410,3410,0,0,0,positiva,0.0,9.30,33.0,0.0000,False
2026-08-27T12:17:04.250961-03:00,55950.261073,speed700_acc30_l2,gripper,6,l2,0.156863,0.036198,-9.411765,-0.000014,3400,120,117.418533,117.773438,0.354904,3406,3410,4,0,0,positiva,0.0,9.30,33.0,0.0000,True
2026-08-27T12:17:04.286825-03:00,55950.297138,speed700_acc30_l2,gripper,6,l2,0.176471,0.036065,-10.588235,-0.000014,3400,120,117.036667,117.773438,0.736771,3402,3410,8,44,44,positiva,4.4,9.30,33.0,0.0000,True
2026-08-27T12:17:04.322698-03:00,55950.332969,speed700_acc30_l2,gripper,6,l2,0.168627,0.035831,-10.117647,-0.000014,3400,120,116.674143,117.773438,1.099294,3397,3410,13,60,60,positiva,6.0,9.30,33.0,0.0065,True
2026-08-27T12:17:04.358934-03:00,55950.369264,speed700_acc30_l2,gripper,6,l2,0.156863,0.036295,-9.411765,-0.000014,3400,120,116.332539,117.773438,1.440898,3394,3410,16,80,80,positiva,8.0,9.30,33.0,0.0065,True
2026-08-27T12:17:04.394807-03:00,55950.405099,speed700_acc30_l2,gripper,6,l2,0.168627,0.035835,-10.117647,-7.357988,3400,120,115.969975,117.509766,1.539791,3389,3407,18,64,64,positiva,6.4,9.30,33.0,0.0065,True
2026-08-27T12:17:04.430683-03:00,55950.440943,speed700_acc30_l2,gripper,6,l2,0.258824,0.035844,-15.529412,-7.356075,3400,120,115.413336,117.246094,1.832757,3383,3404,21,84,84,positiva,8.4,9.30,33.0,0.0065,True
2026-08-27T12:17:04.466712-03:00,55950.476786,speed700_acc30_l2,gripper,6,l2,0.462745,0.035843,-27.764706,-12.260656,3400,120,114.418178,116.806641,2.388463,3372,3399,27,84,84,positiva,8.4,9.30,33.0,0.0065,True
2026-08-27T12:17:04.502754-03:00,55950.512838,speed700_acc30_l2,gripper,6,l2,0.478431,0.036053,-28.705882,-12.189264,3400,120,113.383259,116.367188,2.983928,3360,3394,34,112,112,positiva,11.2,9.30,33.0,0.0065,True
2026-08-27T12:17:04.538668-03:00,55950.548934,speed700_acc30_l2,gripper,6,l2,0.478431,0.036096,-28.705882,-17.044621,3400,120,112.347105,115.751953,3.404849,3348,3387,39,132,132,positiva,13.2,9.30,33.0,0.0130,True
2026-08-27T12:17:04.574520-03:00,55950.584824,speed700_acc30_l2,gripper,6,l2,0.470588,0.035891,-28.235294,-22.039638,3400,120,111.333723,114.960938,3.627214,3337,3378,41,132,132,positiva,13.2,9.30,33.0,0.0130,True
2026-08-27T12:17:04.610570-03:00,55950.620594,speed700_acc30_l2,gripper,6,l2,0.470588,0.035770,-28.235294,-24.570965,3400,120,110.323743,114.082031,3.758288,3325,3368,43,140,140,positiva,14.0,9.30,33.0,0.0065,True
2026-08-27T12:17:04.646466-03:00,55950.656757,speed700_acc30_l2,gripper,6,l2,0.462745,0.036163,-27.764706,-26.734444,3400,120,109.319689,113.115234,3.795545,3314,3357,43,144,144,positiva,14.4,9.30,33.0,0.0130,True
2026-08-27T12:17:04.682498-03:00,55950.692799,speed700_acc30_l2,gripper,6,l2,0.462745,0.036042,-27.764706,-26.824118,3400,120,108.318992,112.148438,3.829446,3302,3346,44,144,144,positiva,14.4,9.30,33.0,0.0130,True
2026-08-27T12:17:04.718387-03:00,55950.728615,speed700_acc30_l2,gripper,6,l2,0.462745,0.035815,-27.764706,-24.539953,3400,120,107.324589,111.269531,3.944942,3291,3336,45,148,148,positiva,14.8,9.30,33.0,0.0065,True
2026-08-27T12:17:04.754068-03:00,55950.764441,speed700_acc30_l2,gripper,6,l2,0.462745,0.035826,-27.764706,-29.439001,3400,120,106.329886,110.214844,3.884958,3280,3324,44,144,144,positiva,14.4,9.30,33.0,0.0065,True
2026-08-27T12:17:04.789955-03:00,55950.800241,speed700_acc30_l2,gripper,6,l2,0.466667,0.035800,-28.000000,-27.005727,3400,120,105.327494,109.248047,3.920553,3268,3313,45,136,136,positiva,13.6,9.30,33.0,0.0065,True
2026-08-27T12:17:04.825830-03:00,55950.836071,speed700_acc30_l2,gripper,6,l2,0.470588,0.035830,-28.235294,-26.982701,3400,120,104.315816,108.281250,3.965434,3257,3302,45,152,152,positiva,15.2,9.30,33.0,0.0000,True
